Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0,0,0,4084,4585,5971,7309,8399,9892,11513,13318,15406,19248,21555,24304,0,0,0,0,0,0,0,0
Albania,3444,3695,4096,4456,5.6,7452,8376,9133,10163,11131,11726,11797,13808,14.91,16053,11591,12204,13214,14341,15553,16996,16.77,18012
Algeria,48845,54749,55181,57053,68013,85016,102.38,114322,116158,126889,134797,154843,177.83,190432,203449,175077,181.71,192256,202179,210906,219.16,163812,168195
Angola,6153,9135,8936,11386,13956,19.8,30632,43759,55.37,67608,69708,87718,118426,136415,151089,102011,98815,105369,112533,119403,127.15,70339,74953
Antigua and Barbuda,652,678,0.71,718,754,818,875,962,1026,1074,1.18,1196,1322,1404,1494,1285,1328,1386,1458,1536,1617,1405,1534
Argentina,283523,284204,268697,97732,127643,151958,181549,212702,247096,277912,301331,296109,315832,329332,347731,578705,578692,589585,602868,617386,633889,455172,483765
Armenia,1845,1912,2118,2376,2807,3573,4903,6.41,7666,8579,8683,8238,9086,9844,10821,10607,10672,11074,11.63,12273,12939,13612,15.06
Australia,401782,390017,368191,412901,527588,639356,712436,754816,822089,854072,920.01,982826,1039.69,1078.91,1125.82,1240.80,1253.00,1317.16,1381.51,1442.47,1515.70,1610.56,1677.45
Austria,213.39,194407,193345,208566,255842,293194,305338,321934,348659,364.58,374417,389002,406.52,417771,430611,372606,386227,402793,418402,433.75,452657,481209,520343
Azerbaijan,4581,5273,5708,6236,7276,8682,12561,19817,28699,40229,42505,51916,58795,62867,65776,63983,63602,70927,74266,83996,87276,52645,54725
Bahamas,,4704,5004,5131,5389,5503,5661,5.87,6223,6624,7026,7403,7409,7786,8.02,8287,0,0,0,0,0,0,0
Bahrain,6617,7966,7927,8446,9734,11.18,13378,16065,17505,19673,19361,21567,24231,25814,27165,30914,32335,34318,36334,38446,40522,39104,41057
Bangladesh,46529,47048,47194,49.56,54476,59.12,61.28,65216,71443,77943,92121,99088,114717,123447,133176,202333,218991,238723,260874,285329,310858,355689,390608
Barbados,2478,2559,2554,2476,2695,2817,3061,3386,3751,3922,3595,3.63,4.03,4.23,4445,4451,4537,4652,4805,4999,5222,4648,5142
Belarus,12104,12758,12421,14654,17823,23141,30131,36944,38185,37323,49043,53137,69146,79416,91501,62.02,66.37,70997,76023,82437,89315,65754,70632
Belgium,253889,232934,231928,252.66,310514,359155,372726,393.59,423541,441115,461489,480154,506004,520026,535079,458651,473524,492062,511491,531189,556197,581848,619.16
Belize,732,832,871,932,988,1055,1111,1213,1286,1362,1407,1471,1619,1701,1787,1763,1841,1931,2021,2114,2207,1909,2062
Benin,2492,2383,2502,2817,3565,4053,4406,4.76,5377,5838,6401,6772,8007,8713,9483,7701,8302,9061,9896,10765,11659,18067,19917
Bhutan,0.43,0.46,493,545,611,709,828,983,1156,1.29,1473,1563,1.83,1999,2174,2209,2465,2748,3141,3468,3798,2.48,2.74
Bolivia,8298,8412,8154,7917,8102,8749,9358,10828,11.91,13194,17549,18961,21809,23306,24925,33537,35231,38204,41429,44903,48626,38547,40895
Bosnia and Herzegovina,4995,5298,5558,6184,7801,9331,10058,11396,13164,14225,16961,17697,20424,22102,23616,15568,16306,17356,18556,19897,21559,21692,23006
Botswana,5629,6193,6.06,5959,8318,9831,10195,10808,11859,13071,10808,11519,13.64,14837,15032,13091,13011,13843,14814,16065,17456,17605,19002
Brazil,586922,644283,554.41,505712,552239,663552,882043,1067.71,1177.71,1251.63,1481.55,1724.35,1924.29,2036.24,2155.68,1799.61,1672.90,1759.27,1854.68,1953.67,2054.41,1645.84,1810.61
Brunei Darussalam,4.6,6001,5601,5843,6557,7872,9531,11438,12032,12499,14695,15698,16632,16917,17039,11636,11853,13038,14551,17129,19.1,15686,16263
Bulgaria,12977,12639,13605,15614,19974,24331,26719,30608,35781,39155,44777,45456,49867,53912,58117,47167,48594,50.73,53227,56032,59506,77907,84308
Burkina Faso,3015,2611,2815,3301,4279,5114,5624,6055,6924,7563,7.78,8308,9758,10545,11402,11323,12239,13433,14778,16266,18003,19932,21887
Burundi,808,709,662,628,595,664,801,908,999,1102,1.41,1437,1607,1714,1835,2.97,3247,3512,3825,4145,4489,3193,3396
Cambodia,3516,3655,3.97,4.28,4585,5307,6233,7096,7961,8655,10901,11748,14434,15932,17458,17714,19198,20.86,22765,24.83,27089,26.08,27985
Cameroon,10424,10046,9497,10888,13.63,15784,16.88,18372,20018,21383,21.82,23556,26232,27.73,29758,28524,30.79,33521,36458,39594,43247,44806,48.29
Canada,661345,725158,715632,734773,868485,993908,1132.44,1269.10,1266.40,1334.39,1319.14,1438.99,1584.48,1651.52,1713.41,1572.78,1592.35,1682.37,1773.80,1860.06,1958.15,2015.98,2189.79
Cape Verde,597,539,563,621,814,925,999,1.15,1313,1449,1755,1885,2243,2459,2689,0,0,0,0,0,0,0,0
Central African Republic,1039,962,968,1045,1198,1309,1376,1488,1624,1745,1983,2146,2428,2599,2776,1624,1.84,2096,2371,2637,2916,2587,2797
Chad,1537,1389,1711,1995,2728,4421,5896,6547,6139,6396,6974,8241,9112,9046,9205,11688,12.82,14704,15988,17.44,18547,12345,12953
Chile,72995,75.21,68568,67266,73991,95839,118985,145205,149647,149027,150361,160442,169244,179238,183909,240041,240309,250951,262953,276484,292019,331.25,352664
China,1083.28,1198.48,1324.81,1453.84,1640.97,1931.64,2243.69,2630.11,3051.24,3416.57,4757.74,5263.33,6524.23,7287.76,8283.35,11384.76,12253.98,13173.59,14272.35,15620.71,17100.06,16862.98,18463.13
Colombia,86186,83786,81.99,81122,79459,98059,123085,135075,149375,156.69,228614,245254,279366,297363,319728,274189,263476,303.75,339668,379025,421246,300791,319.29
Comoros,223,202,0.22,252,325,363,388,402,436,472,525,571,635,682,733,589,625,668,717,769,834,1281,1363
Congo Democratic Republic of,4319,4303,5155,5539,5681,6539,7096,8543,8953,9954,11104,12304,14525,15975,17352,0,0,0,0,0,0,0,0
Congo Republic of,2354,3.22,2794,3.02,3571,4349,5981,7399,6.06,6878,8632,12142,13186,12783,12671,0,0,0,0,0,0,0,0
Costa Rica,15797,15947,16404,16879,17491,18567,19937,21384,22242,23319,29291,30433,34316,36735,38891,51618,54977,58787,62963,67209,71816,61.46,64374
Côte d'Ivoire,12573,10448,10554,11527,13764,15501,16373,17339,18658,20225,22909,24747,28002,30172,32546,31.27,34284,37908,41.84,45956,50.86,68845,75075
Croatia,19906,18427,19.83,23032,29612,35261,38.51,42456,47422,51159,61724,63261,70.51,74861,79296,48932,50.04,52194,54919,57948,61381,63399,68525
Cyprus,9.78,9317,9678,10543,13.29,15789,16958,18235,19948,21279,23221,24306,26684,28066,29483,19383,19894,20767,21735,22747,23907,26546,28291
Czech Republic,60192,56717,61843,75276,91358,108214,123981,141801,160448,172504,189669,201333,229512,245565,264418,182462,189982,196987,201.46,203527,206851,276914,302061
Denmark,174172,160533,160583,174.42,212981,243.85,259217,276611,302.56,316164,308323,326639,354901,370892,383979,291043,300906,316271,333132,349886,369686,396666,414.55
Djibouti,541,556,577,596,628,666,709,768,835,914,1089,1205,1466,1612,1779,1743,1.93,2.14,2372,2614,2854,3654,3932
Dominica,265,269,264,253,258,272,285,0.3,313,327,376,389,425,445,465,538,559,577,598,621,646,571,628
Dominican Republic,17601,20059,21943,21625,16459,18435,29092,31.6,33119,33843,44716,45219,51474,54.91,58575,66575,69908,73.41,77088,80.95,85005,89502,97371
Ecuador,16674,15934,21.25,24899,28636,32636,36489,40447,42292,44962,55613,59618,65757,69463,73444,98925,101698,104773,108468,112418,116105,104483,109975
Egypt,89942,99155,95399,87506,81384,78802,89794,107375,129125,140157,187956,208458,250911,274795,299121,0,0,0,0,0,0,396328,438348
El Salvador,12465,13134,13813,14307,15047,15822,16974,18341,19647,21046,22166,22941,25348,27206,29167,25652,26592,27679,28896,30081,31358,27665,29316
Equatorial Guinea,738,1231,1766,2209,2.99,4.85,7477,9135,8473,9836,11175,12.84,15172,15161,14881,10025,10211,10399,10547,10681,10856,12528,12074
Eritrea,0.73,638,675,635,585,635,961,1.16,1425,1818,1694,1965,2677,3124,3663,4256,4809,5478,6289,7.23,7584,2254,2484
Estonia,5571,5627,6192,7306,9592,11646,13753,16.41,19573,21925,18045,17473,18.62,19803,21.09,22934,24224,25869,27646,29537,31856,36039,39542
Ethiopia,7604,7.9,7879,7428,8.03,9485,11373,13315,15646,17311,33.92,33144,35509,37891,40432,63022,70171,77438,84407,91.98,100324,92757,0
Fiji,1868,1653,1662,1811,2239,2627,2816,2977,3154,3301,3048,3063,3336,3504,3683,4526,4747,4973,5214,5.47,5739,4639,5.01
Finland,130948,122222,125269,135972,165031,189411,195785,210837,225434,235106,242328,252911,271393,281948,293345,230685,237111,246361,256596,267335,281.26,296016,314538
France,1456.80,1333.04,1341.39,1463.90,1804.99,2059.71,2127.17,2231.63,2401.44,2512.69,2634.82,2745.49,2907.44,2998.97,3089.18,2422.65,2488.38,2586.57,2690.48,2801.75,2940.19,2940.43,3140.03
Gabon,4669,5096,4709,4.97,6.08,7188,8681,9124,9337,9776,10936,12906,14042,14209,14693,13.8,14.24,15478,16648,17773,18899,18293,19632
Gambia,432,421,418,0.37,353,401,461,507,557,606,726,0.76,835,882,944,0,0,0,0,0,0,0,0
Georgia,2803,3042,3205,3395,3992,5111,6393,7.83,9279,10.52,10981,10761,12291,13293,14377,13753,14.27,15677,17074,18632,20331,17846,19688
Germany,2146.43,1905.80,1892.60,2024.06,2444.28,2744.22,2791.74,2897.03,3080.55,3184.13,3235.46,3325.76,3397.87,3443.06,3485.90,3371.00,3472.51,3595.41,3721.37,3846.70,4004.94,4230.17,4557.35
Ghana,7.71,4977,5309,6.16,7624,8872,10.72,12894,14988,16872,14761,15302,19.88,21199,22631,37679,42295,46921,51233,54993,58288,75487,82018
